StoreCode,net_sales,gross_sales,return_amount,n_rows,net_qty,rank,share_pct,cum_share_pct,return_rate_amount
1855,89171.75,135213.43,-46041.68,188,86,45,0.5,30.89,0.34
1734,88436.41,128290.29,-39853.88,196,106,46,0.5,31.38,0.31
1651,88313.6,108185.57,-19871.97,132,88,47,0.5,31.88,0.18
1823,88235.83,129883.36,-41647.53,177,85,48,0.49,32.37,0.32
1775,88055.77,130102.43,-42046.66,183,85,49,0.49,32.87,0.32
1647,86694.86,122944.84,-36249.98,165,85,50,0.49,33.35,0.29
1894,86633.93,99322.72,-12688.79,118,90,51,0.49,33.84,0.13
1533,85930.33,141043.45,-55113.12,198,82,52,0.48,34.32,0.39
1677,85564.78,134609.55,-49044.77,199,87,53,0.48,34.8,0.36
1556,85096.87,131679.73,-46582.86,185,83,54,0.48,35.28,0.35
1813,84809.11,122355.73,-37546.62,167,85,55,0.48,35.75,0.31
1559,84424.0,112888.64,-28464.64,151,85,56,0.47,36.23,0.25
1621,83329.95,124987.56,-41657.61,170,80,57,0.47,36.7,0.33
1814,82366.72,138808.32,-56441.6,206,76,58,0.46,37.16,0.41
1658,81747.71,111550.0,-29802.29,147,83,59,0.46,37.62,0.27
1608,81056.06,113128.59,-32072.53,148,75,60,0.45,38.07,0.28
1826,81051.15,115380.7,-34329.55,164,86,61,0.45,38.52,0.3
1801,81029.19,103700.95,-22671.76,130,78,62,0.45,38.98,0.22
1667,80651.04,113921.74,-33270.7,157,81,63,0.45,39.43,0.29
1820,80271.33,99529.14,-19257.81,124,84,64,0.45,39.88,0.19
1561,79852.38,125141.14,-45288.76,172,76,65,0.45,40.33,0.36
1810,79619.61,109930.01,-30310.4,146,82,66,0.45,40.78,0.28
1892,79505.52,104986.3,-25480.78,135,77,67,0.45,41.22,0.24
1844,79058.42,128636.85,-49578.43,188,78,68,0.44,41.67,0.39
1935,79009.23,114375.58,-35366.35,164,84,69,0.44,42.11,0.31
1570,78794.07,123345.6,-44551.53,173,76,70,0.44,42.55,0.36
1822,78362.79,113657.18,-35294.39,157,79,71,0.44,42.99,0.31
1637,76573.03,105329.7,-28756.67,140,75,72,0.43,43.42,0.27
1856,76559.59,102308.47,-25748.88,131,75,73,0.43,43.85,0.25
1839,75995.17,91986.52,-15991.35,114,78,74,0.43,44.27,0.17
1777,72594.03,113313.84,-40719.81,165,75,75,0.41,44.68,0.36
1932,72374.07,93055.66,-20681.59,118,75,76,0.41,45.09,0.22
1655,71645.18,95324.37,-23679.19,120,67,77,0.4,45.49,0.25
1614,71287.12,97403.19,-26116.07,127,73,78,0.4,45.89,0.27
1662,70905.58,99238.06,-28332.48,128,66,79,0.4,46.29,0.29
1848,69992.65,97348.21,-27355.56,130,70,80,0.39,46.68,0.28
1857,69683.04,87038.35,-17355.31,107,71,81,0.39,47.07,0.2
1911,69353.11,88818.45,-19465.34,114,70,82,0.39,47.46,0.22
1674,68584.7,103244.52,-34659.82,144,70,83,0.38,47.84,0.34
1842,68570.9,85585.49,-17014.59,104,68,84,0.38,48.23,0.2
1579,68454.67,96998.79,-28544.12,128,64,85,0.38,48.61,0.29
1625,68335.97,91141.54,-22805.57,115,65,86,0.38,49.0,0.25
1551,67798.11,81040.7,-13242.59,94,66,87,0.38,49.38,0.16
1675,67796.04,86158.12,-18362.08,109,67,88,0.38,49.76,0.21
1896,67345.78,90150.15,-22804.37,117,69,89,0.38,50.13,0.25
1837,67311.83,113415.86,-46104.03,164,67,90,0.38,50.51,0.41
