fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1745,100.01,1181.81,-1081.8,-527.2727,-1,3,1181.81,0.0,-1.0,0.0,0.9154,0.0,0.0006
Wide Leg,1747,5781.2273,7753.9373,-1972.71,-300.0,5,9,3181.79,4572.1473,0.1793,1.437,0.2544,0.0,0.0324
Wide Leg,1748,5914.7927,6606.3927,-691.6,827.2727,6,8,1772.71,4833.6827,0.4633,2.7267,0.1047,0.1219,0.0332
Wide Leg,1753,2353.62,2353.62,0.0,0.0,2,2,0.0,2353.62,1.0,,0.0,0.0,0.0132
Wide Leg,1754,1474.4255,1769.3255,-294.9,223.2727,2,4,587.5155,1181.81,0.3359,2.0115,0.1667,0.2015,0.0083
Wide Leg,1759,9350.6963,9350.6963,0.0,795.4545,9,9,1090.9,8259.7963,0.7667,7.5715,0.0,0.0784,0.0524
Wide Leg,1761,3272.7,3272.7,0.0,0.0,3,3,2090.89,1181.81,-0.2778,0.5652,0.0,0.0,0.0184
Wide Leg,1762,3723.7447,4541.9147,-818.17,0.0,3,5,0.0,4541.9147,1.0,,0.1801,0.0,0.0209
Wide Leg,1763,2090.89,2090.89,0.0,0.0,2,2,2090.89,0.0,-1.0,0.0,0.0,0.0,0.0117
Wide Leg,1764,1776.0517,5139.6617,-3363.61,288.7636,2,8,2946.2217,2193.44,-0.1465,0.7445,0.6544,0.0532,0.01
Wide Leg,1765,6011.1915,6838.4515,-827.26,-354.5454,5,7,3202.1115,3636.34,0.0635,1.1356,0.121,0.0,0.0337
Wide Leg,1768,1181.81,1181.81,0.0,0.0,1,1,0.0,1181.81,1.0,,0.0,0.0,0.0066
Wide Leg,1770,1181.81,1181.81,0.0,0.0,1,1,0.0,1181.81,1.0,,0.0,0.0,0.0066
Wide Leg,1776,2181.8,2181.8,0.0,0.0,2,2,999.99,1181.81,0.0833,1.1818,0.0,0.0,0.0122
Wide Leg,1779,2363.62,2363.62,0.0,0.0,2,2,0.0,2363.62,1.0,,0.0,0.0,0.0133
Wide Leg,1780,7614.0608,8795.8708,-1181.81,0.0,7,9,3977.7208,4818.15,0.0955,1.2113,0.1344,0.0,0.0427
Wide Leg,1781,2793.4686,2793.4686,0.0,0.0,3,3,0.0,2793.4686,1.0,,0.0,0.0,0.0157
Wide Leg,1783,590.9,1863.62,-1272.72,227.2727,1,3,590.9,1272.72,0.3659,2.1539,0.6829,0.1087,0.0033
Wide Leg,1784,2090.89,2090.89,0.0,0.0,2,2,2090.89,0.0,-1.0,0.0,0.0,0.0,0.0117
