store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1525,2024-03,1884.02558,1884.02558,0.0,2,2,True
1525,2024-04,219.3466699999999,1680.6066700000001,-1461.2600000000002,0,4,True
1525,2024-05,2950.15038,4586.49038,-1636.34,3,7,True
1525,2024-06,2545.42,7636.280000000001,-5090.860000000001,3,13,True
1525,2024-07,1663.6200000000001,1663.6200000000001,0.0,2,2,True
1525,2024-08,3828.80797,5221.84797,-1393.04,4,8,True
1525,2024-09,6462.581340000001,8280.74134,-1818.1599999999999,6,10,True
1525,2024-10,6602.040000000001,8265.66,-1663.6200000000001,6,10,True
1525,2024-11,3378.0600000000004,5414.41,-2036.3500000000001,3,7,True
1525,2024-12,46.569999999999936,1784.73,-1738.16,0,4,True
1525,2025-01,3613.87601,4432.04601,-818.17,3,5,True
1527,2024-02,12090.17668,14453.77668,-2363.6,14,20,True
1527,2024-03,2464.74,7682.63,-5217.89,3,15,True
1527,2024-04,6073.95666,7801.20666,-1727.25,7,11,True
1527,2024-05,-3073.42086,6354.27914,-9427.7,-5,19,True
1527,2024-06,13872.24294,18508.55294,-4636.3099999999995,16,26,True
1527,2024-07,3682.2573100000004,9338.177310000001,-5655.92,5,17,True
1527,2024-08,23805.9,24496.8,-690.9,25,27,True
1527,2024-09,32267.40953,35512.81953,-3245.41,29,37,True
1527,2024-10,17723.5366,35177.916600000004,-17454.38,17,51,True
1527,2024-11,21641.93,29474.06,-7832.13,20,36,True
1527,2024-12,8002.6601,13117.2601,-5114.6,6,18,True
1527,2025-01,21497.14,28460.71,-6963.57,18,32,True
1528,2024-02,-818.17,0.0,-818.17,-1,1,True
1528,2024-03,909.08,909.08,0.0,1,1,True
1528,2024-04,0.0,909.08,-909.08,0,2,True
1528,2024-05,-818.17,0.0,-818.17,-1,1,True
1528,2024-06,1763.61,2272.69,-509.08,2,4,True
1528,2024-07,-63.629999999999995,572.72,-636.35,0,2,True
1528,2024-08,1727.25,2727.2400000000002,-999.99,2,4,True
1528,2024-09,0.0,0.0,0.0,0,0,False
1528,2024-10,818.17,818.17,0.0,1,1,True
1528,2024-11,-508.06999999999994,310.1,-818.17,0,2,True
1528,2024-12,481.81999999999994,1181.81,-699.99,0,2,True
1528,2025-01,3531.89513,3531.89513,0.0,3,3,True
1529,2024-02,1490.8899999999999,2272.7,-781.81,2,4,True
1529,2024-03,3537.01,3999.96,-462.95,3,5,True
1529,2024-04,999.99,999.99,0.0,1,1,True
1529,2024-05,-2636.33,0.0,-2636.33,-3,3,True
1529,2024-06,2818.15,3636.3199999999997,-818.17,3,5,True
1529,2024-07,272.73000000000013,1090.9,-818.17,0,2,True
1529,2024-08,0.0,0.0,0.0,0,0,False
1529,2024-09,4454.51,4454.51,0.0,4,4,True
1529,2024-10,2983.28,6719.6,-3736.3199999999997,3,11,True
1529,2024-11,-223.63999999999987,1636.3500000000001,-1859.99,0,4,True
1529,2024-12,4589.75,5567.01,-977.26,4,6,True
1529,2025-01,4426.969999999999,4426.969999999999,0.0,4,4,True
1531,2024-02,3704.7737700000002,3704.7737700000002,0.0,4,4,True
1531,2024-03,999.99,999.99,0.0,1,1,True
1531,2024-04,786.9119300000001,1605.08193,-818.17,1,3,True
1531,2024-05,1727.25,1727.25,0.0,2,2,True
1531,2024-06,923.85,923.85,0.0,1,1,True
1531,2024-07,572.72,572.72,0.0,1,1,True
1531,2024-08,2209.9709300000004,3300.87093,-1090.9,2,4,True
1531,2024-09,1090.9,1090.9,0.0,1,1,True
1531,2024-10,-946.52,0.0,-946.52,-1,1,True
1531,2024-11,3948.52,3948.52,0.0,4,4,True
1531,2024-12,-999.99,0.0,-999.99,-1,1,True
1531,2025-01,-1272.72,0.0,-1272.72,-1,1,True
1532,2024-02,1883.13,3037.66,-1154.53,2,6,True
1532,2024-03,1265.43,1629.06,-363.63,3,5,True
1532,2024-04,-326.34443,928.17557,-1254.52,0,4,True
1532,2024-05,1861.83992,4225.43992,-2363.6,2,8,True
1532,2024-06,3529.61,4256.87,-727.26,8,10,True
1532,2024-07,700.0000000000002,2063.62,-1363.62,1,5,True
1532,2024-08,1556.28,1556.28,0.0,3,3,True
1532,2024-09,5983.63915,6710.89915,-727.26,7,9,True
1532,2024-10,5981.780000000001,9818.1,-3836.3199999999997,5,13,True
1532,2024-11,6558.31,7558.3,-999.99,6,8,True
1532,2024-12,3141.59588,3141.59588,0.0,3,3,True
